MP ST,MP END,Grade EB,Grade WB
0,0.02,-2.7,2.7
0.02,0.04,1.8,-1.8
0.04,0.12,-1.5,1.5
0.12,0.24,4.1,-4.1
0.24,0.68,0.5,-0.5
0.68,1.45,-3.4,3.4
1.45,1.82,-1.2,1.2
1.82,2.01,1.8,-1.8
2.01,2.25,2.8,-2.8
2.25,2.37,-0.6,0.6
2.37,2.62,-3.8,3.8
2.62,2.91,-1.5,1.5
2.91,3.12,-2.2,2.2
3.12,3.38,3.9,-3.9
3.38,3.97,-4.5,4.5
3.97,4.35,-0.3,0.3
4.35,4.63,3.5,-3.5
4.63,4.90,-2.6,2.6
4.90,5.02,-8.0,8.0
5.02,5.06,14.4,-14.4
5.06,5.22,-4.1,4.1
5.22,5.35,3.8,-3.8
5.35,5.84,1.5,-1.5
5.84,6.39,-2.8,2.8
6.39,6.60,-0.5,0.5
6.60,6.83,3.2,-3.2
6.83,6.88,-13.9,13.9
6.88,6.96,-1.5,1.5
6.96,7.03,8.8,-8.8
7.03,7.19,-3.4,3.4
7.19,7.50,-0.3,0.3
7.50,8.25,0.2,-0.2
8.25,8.39,-15.0,15.0
8.39,8.49,0.0,0.0
8.49,8.61,4.2,-4.2
8.61,8.68,1.1,-1.1
8.68,8.70,12.6,-12.6
8.70,8.83,-3.4,3.4
8.83,8.97,2.6,-2.6
8.97,9.20,-2.6,2.6
9.20,9.48,0.3,-0.3
9.48,9.74,0.1,-0.1
9.74,10.50,0.1,-0.1
10.50,10.80,0.7,-0.7
