tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,,,
120-07448,NJ-3,EASTBOUND,GROVE ST,NJ,PASSAIC,7013,40.8709,-74.1894,40.8671,-74.1837,0.402002,5,America/New_York,P1.11,USA,,,
120N07448,NJ-3,EASTBOUND,GROVE ST,NJ,PASSAIC,7013,40.8671,-74.1837,40.8628,-74.181,0.332586,6,America/New_York,P1.11,USA,,,
120-07447,NJ-3,EASTBOUND,BROAD ST,NJ,PASSAIC,7013,40.8628,-74.181,40.8572,-74.1796,0.394906,7,America/New_York,P1.11,USA,,,
120N07447,NJ-3,EASTBOUND,BROAD ST,NJ,PASSAIC,7013,40.8572,-74.1796,40.8553,-74.1782,0.147626,8,America/New_York,P1.11,USA,,,
120-07446,NJ-3,EASTBOUND,ALLWOOD RD,NJ,PASSAIC,7013,40.8553,-74.1782,40.8545,-74.1775,0.067758,9,America/New_York,P1.11,USA,,,
120-07445,NJ-3,EASTBOUND,GARDEN STATE PKWY,NJ,PASSAIC,7013,40.8547,-74.1776,40.8545,-74.1775,0.013286,10,America/New_York,P1.11,USA,,,
120-07444,NJ-3,EASTBOUND,BLOOMFIELD AVE,NJ,PASSAIC,7012,40.8493,-74.1727,40.8407,-74.1618,0.832974,11,America/New_York,P1.11,USA,,,
120N07444,NJ-3,EASTBOUND,BLOOMFIELD AVE,NJ,PASSAIC,7012,40.8407,-74.1618,40.8395,-74.1594,0.150764,12,America/New_York,P1.11,USA,,,
120-07443,NJ-3,EASTBOUND,NJ-7/PASSAIC AVE,NJ,PASSAIC,7014,40.839504,-74.159421,40.834328,-74.1485138,0.674157,13,America/New_York,P1.11,USA,,,
120N07443,NJ-3,EASTBOUND,NJ-7/PASSAIC AVE,NJ,PASSAIC,7014,40.834328,-74.1485138,40.833811,-74.147407,0.068105,14,America/New_York,P1.11,USA,,,
120-07442,NJ-3,EASTBOUND,MAIN AVE,NJ,PASSAIC,7014,40.833811,-74.147407,40.8312008,-74.1417576,0.346611,15,America/New_York,P1.11,USA,,,
120N07442,NJ-3,EASTBOUND,MAIN AVE,NJ,PASSAIC,7014,40.8312008,-74.1417576,40.830643,-74.1405382,0.074605,16,America/New_York,P1.11,USA,,,
120-04740,NJ-3,EASTBOUND,NJ-21 (CLIFTON) (EAST),NJ,PASSAIC,7014,40.830643,-74.1405382,40.8266788,-74.132051,0.52233,17,America/New_York,P1.11,USA,,,
120N04740,NJ-3,EASTBOUND,NJ-21 (CLIFTON) (EAST),NJ,PASSAIC,7014,40.8266788,-74.132051,40.8233328,-74.1250396,0.434241,18,America/New_York,P1.11,USA,,,
120-04739,NJ-3,EASTBOUND,RIVERSIDE AVE,NJ,BERGEN,7070,40.8233328,-74.1250396,40.8226088,-74.1236904,0.086623,19,America/New_York,P1.11,USA,,,
120N04739,NJ-3,EASTBOUND,RIVERSIDE AVE,NJ,BERGEN,7070,40.8226088,-74.1236904,40.8212472,-74.1212652,0.158097,20,America/New_York,P1.11,USA,,,
120-04738,NJ-3,EASTBOUND,RIDGE RD,NJ,BERGEN,7070,40.8212472,-74.1212652,40.8182428,-74.1164154,0.328105,21,America/New_York,P1.11,USA,,,
120N04738,NJ-3,EASTBOUND,RIDGE RD,NJ,BERGEN,7070,40.8182428,-74.1164154,40.8163016,-74.1129808,0.22445,22,America/New_York,P1.11,USA,,,
120-04737,NJ-3,EASTBOUND,NJ-17,NJ,BERGEN,7070,40.8163016,-74.1129808,40.8121446,-74.1042918,0.538729,23,America/New_York,P1.11,USA,,,
120N04737,NJ-3,EASTBOUND,NJ-17,NJ,BERGEN,7070,40.8121446,-74.1042918,40.81052,-74.094482,0.542501,24,America/New_York,P1.11,USA,,,
120-04736,NJ-3,EASTBOUND,NEW JERSEY TPKE,NJ,BERGEN,7073,40.81052,-74.094482,40.810918,-74.087126,0.388071,25,America/New_York,P1.11,USA,,,
120N04736,NJ-3,EASTBOUND,NEW JERSEY TPKE,NJ,BERGEN,7073,40.810918,-74.087126,40.8101922,-74.0835654,0.193976,26,America/New_York,P1.11,USA,,,
120-04735,NJ-3,EASTBOUND,NEW JERSEY TPKE W SPUR,NJ,BERGEN,7073,40.8102156,-74.083641,40.8101922,-74.0835654,0.004281,27,America/New_York,P1.11,USA,,,
120N04735,NJ-3,EASTBOUND,NEW JERSEY TPKE W SPUR,NJ,BERGEN,7073,40.8101922,-74.0835654,40.8083318,-74.0792468,0.260777,28,America/New_York,P1.11,USA,,,
120-04734,NJ-3,EASTBOUND,NJ-120,NJ,BERGEN,7073,40.8083318,-74.0792468,40.8036246,-74.0731686,0.463303,29,America/New_York,P1.11,USA,,,
120N04734,NJ-3,EASTBOUND,NJ-120,NJ,BERGEN,7073,40.8036246,-74.0731686,40.8019498,-74.0724436,0.121881,30,America/New_York,P1.11,USA,,,
120-04733,NJ-3,EASTBOUND,MEADOWLANDS PKWY,NJ,HUDSON,7094,40.8019498,-74.0724436,40.7973584,-74.0662746,0.46083,31,America/New_York,P1.11,USA,,,
120N04733,NJ-3,EASTBOUND,MEADOWLANDS PKWY,NJ,HUDSON,7094,40.7973584,-74.0662746,40.796625,-74.063674,0.14547,32,America/New_York,P1.11,USA,,,
