tmc,tmc_dn1,tmc_dn2,tmc_dn3,tmc_up1,tmc_up2,tmc_up3,tmc_miles,tmc_dn1,tmc_dn2,tmc_dn3,tmc_up1,tmc_up2,tmc_up3
120-07448,120N07448,120-07447,120N07447,120+06052,120P06052,120+06052,0.401996,0.332592,0.394906,0.147614,0.31623,0.243952,0.472833
120N07448,120-07447,120N07447,120-07446,120-07448,120-07448,120-07448,0.332592,0.394906,0.147614,0.067757,0.401996,0.401996,0.401996
120-07447,120N07447,120-07446,120-07445,120N07448,120-07448,120-07448,0.394906,0.147614,0.067757,0.013286,0.332592,0.401996,0.401996
120N07447,120-07446,120-07445,120-07444,120-07447,120N07448,120-07448,0.147614,0.067757,0.013286,0.83298,0.394906,0.332592,0.401996
120-07446,120-07445,120-07444,120N07444,120N07447,120-07447,120N07448,0.067757,0.013286,0.83298,0.150764,0.147614,0.394906,0.332592
120-07445,120-07444,120N07444,120-07443,120-07446,120N07447,120-07447,0.013286,0.83298,0.150764,0.674157,0.067757,0.147614,0.394906
120-07444,120N07444,120-07443,120N07443,120-07445,120-07446,120N07447,0.83298,0.150764,0.674157,0.068105,0.013286,0.067757,0.147614
120N07444,120-07443,120N07443,120-07442,120-07444,120-07445,120-07446,0.150764,0.674157,0.068105,0.346611,0.83298,0.013286,0.067757
120-07443,120N07443,120-07442,120N07442,120N07444,120-07444,120-07445,0.674157,0.068105,0.346611,0.074605,0.150764,0.83298,0.013286
120N07443,120-07442,120N07442,120-04740,120-07443,120N07444,120-07444,0.068105,0.346611,0.074605,0.52233,0.674157,0.150764,0.83298
120-07442,120N07442,120-04740,120N04740,120N07443,120-07443,120N07444,0.346611,0.074605,0.52233,0.434241,0.068105,0.674157,0.150764
120N07442,120-04740,120N04740,120-04739,120-07442,120N07443,120-07443,0.074605,0.52233,0.434241,0.086623,0.346611,0.068105,0.674157
120-04740,120N04740,120-04739,120N04739,120N07442,120-07442,120N07443,0.52233,0.434241,0.086623,0.158097,0.074605,0.346611,0.068105
120N04740,120-04739,120N04739,120-04738,120-04740,120N07442,120-07442,0.434241,0.086623,0.158097,0.328105,0.52233,0.074605,0.346611
120-04739,120N04739,120-04738,120N04738,120N04740,120-04740,120N07442,0.086623,0.158097,0.328105,0.22445,0.434241,0.52233,0.074605
120N04739,120-04738,120N04738,120-04737,120-04739,120N04740,120-04740,0.158097,0.328105,0.22445,0.538729,0.086623,0.434241,0.52233
