CRASH_ID,CTY_NAME,MUN_NAME,DATE,DAY,TIME,POL_CODE,POL_DEPT,POL_STA,KILLED,INJURED,PED_KILL,PED_INJ,SEVERITY,INTERSEC,ALCOHOL,HAZMAT,CRASH_TYPE,VEH_COUNT,LOCATION,LOC_DIR,ROUTE,RT_SFX,SRI,MP,RD_SYS,RD_CHAR,RD_SURF,SURF_COND,LIGHT,WEATHER,RD_DIV,RD_WRKZN,X_DIST,DIST_UNT,X_DIR,X_NAME,IS_RAMP,RAMP_RT,RAMP_DIR,SPD_LMT,SPD_X,LAT,LONG,CELL_USE,PROP_DMG,BADGE,TIME_ROUND,TMC
201702121,BERGEN      ,EAST RUTHERFORD BORO    ,3/29/2017,WE,1603,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.6,2,,2,1,1,1,1,1,,,,,,,,55,,,,N,,141,16:05,120N04734
2015021215-001780              ,BERGEN      ,EAST RUTHERFORD BORO    ,2/6/2015,F ,2214,1,SECAUCUS PD              ,HQTS           ,0,2,0,0,I,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8,2,1,2,1,6,1,2,1,,,,,,,,55,,,,N,NONE                                                                            ,156,22:15,120-04733
2015021215-013018              ,BERGEN      ,EAST RUTHERFORD BORO    ,8/29/2015,SA,2146,1,SECAUCUS PD              ,HQTS           ,0,0,0,0,P,B,N,N,3,2,NJ 3                                              ,E,3,,00000003__      ,8.1,2,1,2,1,6,1,2,1,,,,,,,,45,,,,N,DENTED GUARD RAIL                                                               ,160,21:45,120-04733
2013021213-012195              ,BERGEN      ,EAST RUTHERFORD BORO    ,7/17/2013,W ,824,1,SECAUCUS PD              ,HQTS           ,0,1,0,0,I,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8.41,2,2,2,1,1,1,1,1,1000,FE,W,MEADOWLANDS PKWY                   ,,,,55,,,,N,,150,8:25,120-04732
20170212BS-17-045134           ,BERGEN      ,EAST RUTHERFORD BORO    ,7/19/2017,WE,908,3,BERGEN CO SHERIFFS DEPT  ,PARAMUS        ,0,0,0,0,P,B,N,N,99,1,NJ 3                                              ,E,3,,00000003__      ,6.86,2,,2,1,1,1,1,1,100,FE,E,N. SERVICE ROAD                    ,,,,55,25,,,N,SEE PAGE #3                                                                     ,254,9:10,120N04736
20160212ER-13-08243            ,BERGEN      ,EAST RUTHERFORD BORO    ,9/27/2016,TU,852,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,7.5,2,1,2,2,1,5,3,1,,,E,,,,,55,,,,N,,139,8:50,120-04734
20140212ER-14-00207            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/8/2014,W ,827,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,I,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8.2,2,2,2,1,1,1,5,1,,AT,N,,,,,55,,40.79798,74.06758,N,,127,8:25,120N04733
2015021215-014808              ,BERGEN      ,EAST RUTHERFORD BORO    ,10/5/2015,M ,712,1,SECAUCUS PD              ,HQTS           ,0,0,0,0,P,B,N,N,99,2,NJ 3                                              ,E,3,,00000003__      ,8.2,2,2,2,1,1,1,5,1,,,,,,,,55,,,,N,,168,7:10,120N04733
20160212ER-16-00412            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/13/2016,W ,746,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,7.6,2,1,2,1,1,1,1,1,,,,,,,,55,,,,N,,141,7:45,120N04734
2015021215-016929              ,BERGEN      ,EAST RUTHERFORD BORO    ,11/12/2015,TH,759,1,SECAUCUS PD              ,HQTS           ,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8.3,2,2,2,2,1,1,5,1,,,,,,,,55,,,,N,,168,8:00,120N04733
20140212ER-14-00628            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/21/2014,TU,1153,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,I,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,7.6,2,1,2,3,1,3,1,1,,AT,E,,,,,55,,40.80473,74.07402,N,,141,11:55,120N04734
20130212BC-13-019635           ,BERGEN      ,EAST RUTHERFORD BORO    ,5/2/2013,TH,1004,3,BERGEN CO PD             ,PARAMUS        ,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8.08,2,1,2,1,1,1,3,2,50,FE,E,,T,NEW JERSEY TURNPIKE      ,SB,55,,,,N,NONE OBSERVED                                                                   ,283,10:05,120-04733
201802122018-10040             ,BERGEN      ,EAST RUTHERFORD BORO    ,12/17/2018,MO,829,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8.2,2,,2,1,1,1,1,1,,,,,,,,40,,,,N,,144,8:30,120N04733
20140212ER-14-00633            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/21/2014,TU,1408,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,I,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,7,2,1,2,3,1,3,1,1,,AT,N,,,,,55,,40.81064,74.08532,N,,141,14:10,120N04735
20160212ER-16-01364            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/16/2016,TU,1354,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,7.2,2,2,2,2,1,2,1,1,,,E,,,,,55,,,,N,,139,13:55,120-04734
20130212ER-13-00016            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/1/2013,TU,952,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,8.3,2,2,2,1,1,1,1,1,,,,,,,,55,,,,N,GUARDRAIL ON HACKENSACK RIVER BRIDGE                                            ,144,9:50,120N04733
2015021249,BERGEN      ,EAST RUTHERFORD BORO    ,11/8/2015,S ,1739,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8.49,2,1,2,1,7,1,5,1,,,E,,,,,55,,,,N,,144,17:40,120-04732
201802122018-10169             ,BERGEN      ,EAST RUTHERFORD BORO    ,12/21/2018,FR,819,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8.3,2,,2,2,1,2,3,1,,,,,,,,55,,,,N,,140,8:20,120N04733
20160212ER-16-01783            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/29/2016,M ,528,1,EAST RUTHERFORD PD       ,,0,3,0,0,I,B,N,N,1,4,NJ 3                                              ,E,3,,00000003__      ,8.4,2,1,2,1,6,1,5,1,,,,,,,,55,,,,N,NONE                                                                            ,149,5:30,120-04732
20150212B250-2015-00024A       ,BERGEN      ,EAST RUTHERFORD BORO    ,5/24/2015,S ,600,2,NEW JERSEY STATE POLICE  ,MEADOWLANDS - S,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,,2,2,2,1,6,1,1,1,,,E,,F,NJ 120                   ,,55,,,,N,,5742,6:00,120-07448
20160212ER-16-02305            ,BERGEN      ,EAST RUTHERFORD BORO    ,3/18/2016,F ,2205,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,6,3,NJ 3                                              ,E,3,,00000003__      ,8.3,2,3,2,1,6,1,5,1,,,E,,,,,55,,,,N,NONE                                                                            ,151,22:05,120N04733
20160212ER-16-027461           ,BERGEN      ,EAST RUTHERFORD BORO    ,4/4/2016,M ,1027,1,EAST RUTHERFORD PD       ,ERPD 1         ,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,8.2,2,1,2,2,1,2,1,1,,,,,,,,55,,,,N,,143,10:25,120N04733
201802122018-10382             ,BERGEN      ,EAST RUTHERFORD BORO    ,12/29/2018,SA,1324,1,EAST RUTHERFORD PD       ,,0,1,0,0,I,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.5,2,,2,1,1,1,1,1,,,,,,,,55,,,,N,,126,13:25,120-04734
20170212ER-17-00936            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/31/2017,TU,739,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8.3,2,,2,1,1,1,1,1,,,,,,,,55,,,,N,,140,7:40,120N04733
20150212ER-14-00658            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/22/2015,TH,900,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,I,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,6.9,2,2,2,1,1,1,5,2,,AT,N,BERRY CREEK BRIDGE                 ,,,,55,,,,N,,144,9:00,120N04735
20130212ER-13-00607            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/19/2013,SA,1516,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7,2,1,1,1,1,1,1,1,,,,,,,,55,,,,N,,142,15:15,120N04735
20170212ER-17-01186            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/9/2017,TH,548,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,2,NJ 3                                              ,E,3,,00000003__      ,8,2,,2,3,7,3,1,1,,,,,,,,55,,,,N,,144,5:50,120-04733
201802122018-10418             ,BERGEN      ,EAST RUTHERFORD BORO    ,12/31/2018,MO,315,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,12,1,NJ 3                                              ,E,3,,00000003__      ,7.2,2,,2,1,7,1,1,1,,,,,,,,,,,,N,,155,3:15,120-04734
20130212ER-13-00653            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/21/2013,M ,1329,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.4,2,1,2,1,1,1,1,2,,,,,,,,55,,,,N,,139,13:30,120-04734
20160212ER-16-03102            ,BERGEN      ,EAST RUTHERFORD BORO    ,4/16/2016,SA,653,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.4,2,1,2,1,1,1,1,2,,,E,,,,,55,,,,N,,141,6:55,120-04734
20140212ER-14-01360            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/12/2014,W ,803,1,EAST RUTHERFORD PD       ,EAST RUTHERFORD,0,0,0,0,P,I,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.5,2,1,2,1,1,1,1,5,,AT,N,,,,,55,,40.80615,74.07542,N,,146,8:05,120-04734
20150212ER-15-00356            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/12/2015,M ,855,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.7,2,1,2,2,1,2,5,1,,,E,,,,,55,,,,N,,144,8:55,120N04734
20160212ER-16-03250            ,BERGEN      ,EAST RUTHERFORD BORO    ,4/21/2016,TH,906,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,1,3,NJ 3                                              ,E,3,,00000003__      ,8.4,2,1,2,1,1,1,1,1,,,E,,,,,55,,,,N,,141,9:05,120-04732
20180212BS-18-029169           ,BERGEN      ,EAST RUTHERFORD BORO    ,5/10/2018,TH,748,5,BERGEN CO SHERIFFS DEPT  ,PARAMUS        ,0,1,0,0,I,B,N,N,1,2,NJ 3                                              ,E,3,,00000003__      ,8.49,2,,2,1,1,1,1,1,1320,FE,W,MEADOWLANDS PARKWAY                ,,,,55,35,,,N,,254,7:50,120-04732
20130212ER-13-00812            ,BERGEN      ,EAST RUTHERFORD BORO    ,1/28/2013,M ,950,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,2,2,NJ 3                                              ,E,3,,00000003__      ,7.7,2,1,2,3,1,3,1,1,,,,,,,,50,,,,N,,117,9:50,120N04734
20170212ER-17-01195            ,BERGEN      ,EAST RUTHERFORD BORO    ,2/9/2017,TH,1609,1,EAST RUTHERFORD PD       ,,0,0,0,0,P,B,N,N,11,1,NJ 3                                              ,E,3,,00000003__      ,7.9,2,,2,3,1,8,1,1,,,E,,,,,55,,,,N,GUARDRAIL IS DAMAGED ALONG LEFT SIDE OF HIGHWAY PRIOR TO RT 120 OVERPASS.       ,146,16:10,120-04733
