,timestamp,TMC
0,2013-06-23 18:01:00,120P13767
1,2013-03-28 00:02:00,120P04734
2,2013-07-16 23:47:00,120+04739
3,2013-05-30 03:00:00,120P04733
4,2013-09-12 02:10:00,120+04739
5,2013-09-09 02:28:00,120+07442
6,2013-05-08 23:22:00,120-04736
7,2013-09-04 13:14:00,120P04734
8,2013-03-12 09:14:00,120P07448
9,2013-09-14 07:03:00,120N04733
10,2013-06-28 12:43:00,120+04739
11,2013-03-18 02:37:00,120P04739
12,2013-08-04 15:47:00,120P04739
13,2013-03-31 10:49:00,120-04734
14,2013-12-11 20:43:00,120+04738
15,2013-10-15 08:19:00,120-07444
16,2013-11-27 19:07:00,120-04736
17,2013-02-24 08:17:00,120+07442
18,2013-09-12 18:50:00,120+04739
19,2013-07-13 18:32:00,120-07448
20,2013-11-21 21:40:00,120P04738
21,2013-11-24 21:10:00,120+07449
22,2013-01-23 11:18:00,120-04738
23,2013-03-07 18:56:00,120+07449
24,2013-08-25 00:26:00,120N07444
25,2013-04-18 03:38:00,120-04738
26,2013-04-20 23:15:00,120P04738
27,2013-10-18 20:18:00,120+04739
28,2013-07-31 13:49:00,120+04739
29,2013-03-09 16:49:00,120-04738
30,2013-12-19 19:06:00,120N04738
31,2013-02-18 14:51:00,120N04738
32,2013-07-26 01:20:00,120+04734
33,2013-07-18 04:23:00,120+07444
34,2013-03-22 09:50:00,120+07449
35,2013-02-01 12:18:00,120+07449
36,2013-12-29 22:08:00,120-04738
37,2013-06-11 01:56:00,120+04738
38,2013-05-09 06:45:00,120-04733
39,2013-11-14 07:28:00,120N13767
40,2013-06-22 21:33:00,120+07449
41,2013-09-20 09:16:00,120N04739
42,2013-10-31 17:47:00,120+07449
43,2013-09-11 04:07:00,120-04738
44,2013-06-18 11:58:00,120-07443
45,2013-10-12 16:44:00,120-04739
46,2013-01-31 06:38:00,120+07443
47,2013-01-11 14:47:00,120P04738
48,2013-03-05 04:56:00,120+07449
49,2013-02-13 06:39:00,120+07443
50,2013-02-14 23:26:00,120+07442
51,2013-08-20 00:21:00,120+04739
